Sample in Buffer,Sample in Window,TRIGGER,dac_inst/in_clk,dac_inst/in_reset,dac_inst/in_sdo,dac_inst/p_0_in11_in,dac_inst/out_sclk,dac_inst/out_ss,dac_inst/out_sdio,dac_inst/out_data[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
127,127,0,0,1,0,1,0,0,0,0000
128,128,0,0,1,0,1,1,0,0,0000
129,129,0,0,1,0,1,1,0,0,0000
130,130,0,0,1,0,1,1,0,0,0000
131,131,0,0,1,0,1,1,0,0,0000
132,132,0,0,1,0,1,1,0,0,0000
133,133,0,0,1,0,1,1,0,0,0000
134,134,0,0,1,0,1,0,0,0,0000
135,135,0,0,1,0,1,0,0,0,0000
136,136,0,0,1,0,1,0,0,0,0000
137,137,0,0,1,0,1,0,0,0,0000
138,138,0,0,1,0,1,0,0,0,0000
139,139,0,0,1,0,1,0,0,0,0000
140,140,0,0,1,0,1,1,0,0,0000
141,141,0,0,1,0,1,1,0,0,0000
142,142,0,0,1,0,1,1,0,0,0000
143,143,0,0,1,0,1,1,0,0,0000
144,144,0,0,1,0,1,1,0,0,0000
145,145,0,0,1,0,1,1,0,0,0000
146,146,0,0,1,0,1,0,0,0,0000
147,147,0,0,1,0,1,0,0,0,ffff
148,148,0,0,1,0,1,0,0,0,ffff
149,149,0,0,1,0,1,0,0,0,ffff
150,150,0,0,1,0,1,0,0,0,ffff
151,151,0,0,1,0,1,0,0,0,ffff
152,152,0,0,1,0,1,1,0,0,ffff
153,153,0,0,1,0,1,1,0,0,ffff
154,154,0,0,1,0,1,1,0,0,ffff
155,155,0,0,1,0,1,1,0,0,ffff
156,156,0,0,1,0,1,1,0,0,ffff
157,157,0,0,1,0,1,1,0,0,ffff
158,158,0,0,1,0,1,0,0,0,ffff
159,159,0,0,1,0,1,0,0,0,ffff
160,160,0,0,1,0,1,0,0,0,ffff
161,161,0,0,1,0,1,0,0,0,ffff
162,162,0,0,1,0,1,0,0,0,ffff
163,163,0,0,1,0,1,0,0,0,ffff
164,164,0,0,1,0,1,1,0,0,ffff
165,165,0,0,1,0,1,1,0,0,ffff
166,166,0,0,1,0,1,1,0,0,ffff
167,167,0,0,1,0,1,1,0,0,ffff
168,168,0,0,1,0,1,1,0,0,ffff
169,169,0,0,1,0,1,1,0,0,ffff
170,170,0,0,1,0,1,0,0,0,ffff
171,171,0,0,1,0,1,0,0,0,ffff
172,172,0,0,1,0,1,0,0,0,ffff
173,173,0,0,1,0,1,0,0,0,ffff
174,174,0,0,1,0,1,0,0,0,ffff
175,175,0,0,1,0,1,0,0,0,ffff
176,176,0,0,1,0,1,1,0,0,ffff
177,177,0,0,1,0,1,1,0,0,ffff
178,178,0,0,1,0,1,1,0,0,ffff
179,179,0,0,1,0,1,1,0,0,0000
180,180,0,0,1,0,1,1,0,0,0000
181,181,0,0,1,0,1,1,0,0,0000
182,182,0,0,1,0,1,0,0,0,0000
183,183,0,0,1,0,1,0,0,0,0000
184,184,0,0,1,0,1,0,0,0,0000
185,185,0,0,1,0,1,0,0,0,0000
186,186,0,0,1,0,1,0,0,0,0000
187,187,0,0,1,0,1,0,0,0,0000
188,188,0,0,1,0,1,1,0,0,0000
189,189,0,0,1,0,1,1,0,0,0000
190,190,0,0,1,0,1,1,0,0,0000
191,191,0,0,1,0,1,1,0,0,0000
192,192,0,0,1,0,1,1,0,0,0000
193,193,0,0,1,0,1,1,0,0,0000
194,194,0,0,1,0,1,0,0,0,0000
195,195,0,0,1,0,1,0,0,0,0000
196,196,0,0,1,0,1,0,0,0,0000
197,197,0,0,1,0,1,0,0,0,0000
198,198,0,0,1,0,1,0,0,0,0000
199,199,0,0,1,0,1,0,0,0,0000
200,200,0,0,1,0,1,1,0,0,0000
201,201,0,0,1,0,1,1,0,0,0000
202,202,0,0,1,0,1,1,0,0,0000
203,203,0,0,1,0,1,1,0,0,0000
204,204,0,0,1,0,1,1,0,0,0000
205,205,0,0,1,0,1,1,0,0,0000
206,206,0,0,1,0,1,0,0,0,0000
207,207,0,0,1,0,1,0,0,0,0000
208,208,0,0,1,0,1,0,0,0,0000
209,209,0,0,1,0,1,0,0,0,0000
210,210,0,0,1,0,1,0,0,0,0000
211,211,0,0,1,0,1,0,0,0,ffff
212,212,0,0,1,0,1,1,0,0,ffff
213,213,0,0,1,0,1,1,0,0,ffff
214,214,0,0,1,0,1,1,0,0,ffff
215,215,0,0,1,0,1,1,0,0,ffff
216,216,0,0,1,0,1,1,0,0,ffff
217,217,0,0,1,0,1,1,0,0,ffff
218,218,0,0,1,0,1,0,0,0,ffff
219,219,0,0,1,0,1,0,0,0,ffff
220,220,0,0,1,0,1,0,0,0,ffff
221,221,0,0,1,0,1,0,0,0,ffff
222,222,0,0,1,0,1,0,0,0,ffff
223,223,0,0,1,0,1,0,0,0,ffff
224,224,0,0,1,0,1,1,0,0,ffff
225,225,0,0,1,0,1,1,0,0,ffff
226,226,0,0,1,0,1,1,0,0,ffff
227,227,0,0,1,0,1,1,0,0,ffff
228,228,0,0,1,0,1,1,0,0,ffff
229,229,0,0,1,0,1,1,0,0,ffff
230,230,0,0,1,0,1,0,0,0,ffff
231,231,0,0,1,0,1,0,0,0,ffff
232,232,0,0,1,0,1,0,0,0,ffff
233,233,0,0,1,0,1,0,0,0,ffff
234,234,0,0,1,0,1,0,0,0,ffff
235,235,0,0,1,0,1,0,0,0,ffff
236,236,0,0,1,0,1,1,0,0,ffff
237,237,0,0,1,0,1,1,0,0,ffff
238,238,0,0,1,0,1,1,0,0,ffff
239,239,0,0,1,0,1,1,0,0,ffff
240,240,0,0,1,0,1,1,1,0,ffff
241,241,0,0,1,0,1,1,1,0,ffff
242,242,0,0,1,0,1,1,1,0,ffff
243,243,0,0,1,0,1,1,1,0,ffff
244,244,0,0,1,0,1,1,1,0,ffff
245,245,0,0,1,0,1,1,1,0,ffff
246,246,0,0,1,0,1,1,1,0,ffff
247,247,0,0,1,0,1,1,1,0,ffff
248,248,0,0,1,0,1,1,1,0,ffff
249,249,0,0,1,0,1,1,1,0,ffff
250,250,0,0,1,0,1,1,1,0,ffff
251,251,0,0,1,0,1,1,1,0,ffff
252,252,0,0,1,0,1,1,1,0,ffff
253,253,0,0,1,0,1,1,1,0,ffff
254,254,0,0,1,0,1,1,1,0,ffff
255,255,0,0,1,0,1,1,1,0,ffff
256,256,0,0,1,0,1,1,1,0,ffff
257,257,0,0,1,0,1,1,1,0,ffff
258,258,0,0,1,0,1,1,1,0,ffff
259,259,0,0,1,0,1,1,1,0,ffff
260,260,0,0,1,0,1,1,1,0,ffff
261,261,0,0,1,0,1,1,1,0,ffff
262,262,0,0,1,0,1,1,1,0,ffff
263,263,0,0,1,0,1,1,1,0,ffff
264,264,0,0,1,0,1,1,1,0,ffff
265,265,0,0,1,0,1,1,1,0,ffff
266,266,0,0,1,0,1,1,1,0,ffff
267,267,0,0,1,0,1,1,1,0,ffff
268,268,0,0,1,0,1,1,1,0,ffff
269,269,0,0,1,0,1,1,1,0,ffff
270,270,0,0,1,0,1,1,1,0,ffff
271,271,0,0,1,0,1,1,1,0,ffff
272,272,0,0,1,0,1,1,1,0,ffff
273,273,0,0,1,0,1,1,1,0,ffff
274,274,0,0,1,0,1,1,1,0,ffff
275,275,0,0,1,0,1,1,1,0,ffff
276,276,0,0,1,0,1,1,1,0,ffff
277,277,0,0,1,0,1,1,1,0,ffff
278,278,0,0,1,0,1,1,1,0,ffff
279,279,0,0,1,0,1,1,1,0,ffff
